Rank,Player,College,Position
1,Robbie Robinson , Clemson, F
2,Jack Maher , Indiana,D 
3,Dylan Nealis , Georgetown,D 
4,Ryan Raposo , Syracuse, F/M
5,Daryl Dike , Virginia, F
6,Henry Kessler ,Virginia , D
7,Miguel Berry , San Diego, F
8,Garrett McLaughlin, SMU,F 
9,Jeremy Kelly , North Carolina, D/M
10,Patrick Seagrist ,Marquette , D
11,Alistair Johnston , Wake Forest,D 
12,Tanner Beason,Stanford , D
13,Elliot Panicco , Charlotte,GK 
14,Nkosi Burgess , Seattle, D
15,Cherif Dieye , Louisville,F/M 
16,Aaron Molloy, Penn State, M
17,Cal Jennings, UCF, F
18,Noah Billingsley ,UCSB , D
19,Nyal Higgins ,Syracuse ,D 
20,Dayonn Harris ,Connecticut , F/M
21,Simon Lefebvre,Temple , GK
22,Jesus Perez, UIC, M/F
23,Patrick Nielsen , Michigan State, D
24,Paulo Pita ,Marshall , GK
25,Achara,Georgetown ,F 
26,Jonathan Jimenez ,Pacific , F/D
27,Jack Skahan, North Carolina, D/F
28,Tanner Dieterich , Clemson,D 
29,Rey Ortiz, Portland, F/M
30,Simon Lekressner , Cal,D 
31,Joey DeZart, Wake Forest,M 
32,Daniel Gagliardi,FIU , GK
33,Malick Mbaye ,Clemson , M
34,Luka Prpa , Marquette, M
35,Danny Reynolds,UNC Wilmington ,D 
36,Wallis Lapsley, UC Davis, GK
37,Robin Afamefuna,Virginia , D/M
38,Jon Bell,UMBC , M/D
39,Jonathan Dean , UCF, D/M
40,Manuel Ferriol, JMU, M
41,Deri Corfe , Wright State, M
42,Josh Fawole, Loyola-Maryland, F
43,Keegan Meyer , High Point,GK 
44,Austin Aviza , Providence,GK
45,Tom Smart , Akron, M
46,Michael Wetungu , Michigan State, D
47,Remi Prieur ,St. Mary's , GK
48,Felicien Dumas , Notre Dame, D
49,Danny Griffin, Providence, M
50,Jack Hallahan,Michigan ,F 
51,Simon Waever ,Indiana ,D 
52,Timo Mehlich,UNLV , M
53,Joris Ahlinvi ,Indiana, M
54,Shak Adams,FGCU ,F 
57,Nick O'Callaghan ,Florida International , D
58,Jaret Townsend,Washington ,M 
59,Ryo Shimaza, VCU, D
62,Stavros Zarokostas ,Rhode Island, M/F
65,Andrew Verdi ,Michigan , GK
66,Derek Waldeck,Stanford, D
67,Barry Sharifi, Loyola (MD), F
68,Zac McGraw ,Army, D
70,Duncan Turnbull ,Notre Dame, GK
74,Parker Siegfried ,Ohio State ,GK 
75,Phillip Goodrum,UNC Wilmington, F
76,Jorge Gonzalez, SIUE, M
78,Julian Avila-Good , Seattle, M
79,Anders Engebretsen , St. Mary's,D 
80,Luke Haakenson,Creighton , M
84,James Kasak , Virginia Tech, F
86,Kyle Edwards ,UTRGV ,F 
88,Matthew Bentley , Missouri St., F
92,Aidan Megally,Loyola - Chiago , F
93,Niko Petridis , St. John's, M
94,Joergen Oland, Fordham, D
96,Andrew Booth ,Florida International, M/D
102,Younes Boudadi , Creighton, D
